Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\EinsyRetro\board\Einsy_Rambo_Panels\Outputs for EinsyRetro_1.0b\Pick Place for Einsy_Rambo_Panel.csv

========================================================================================================================
File Design Information:

Date:       07/11/17
Time:       21:21
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"Designator6_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","378.937","128.937","90","","378.937","128.937"
"Designator5_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","4252.835","132.835","90","","4252.835","132.835"
"Designator4_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","4252.835","8772.598","90","","4252.835","8772.598"
"Designator4","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","4252.835","8772.598","90","","4252.835","8772.598"
"Designator5","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","4252.835","132.835","90","","4252.835","132.835"
"Designator6","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","378.937","128.937","90","","378.937","128.937"
"RV38","120R","TopLayer","R0402","1513.531","2081.197","180","FERRITE BEAD 120 OHM 0402 1LN","1513.582","2081.197"
"RV37","120R","TopLayer","R0402","1131.724","2439.712","270","FERRITE BEAD 120 OHM 0402 1LN","1131.724","2439.763"
"RV36","120R","TopLayer","R0402","822.835","2446.799","270","FERRITE BEAD 120 OHM 0402 1LN","822.835","2446.850"
"RV35","120R","TopLayer","R0402","1357.189","2288.240","90","FERRITE BEAD 120 OHM 0402 1LN","1357.189","2288.189"
"RV34","120R","TopLayer","R0402","1219.488","2311.075","90","FERRITE BEAD 120 OHM 0402 1LN","1219.488","2311.024"
"RV33","120R","TopLayer","R0402","1096.519","2311.028","90","FERRITE BEAD 120 OHM 0402 1LN","1096.519","2310.977"
"C120","100nF","TopLayer","C0402","1433.787","2041.937","180","CAP CER 0402 100nF 16V 10% X7R","1433.787","2041.937"
"C93","100nF","TopLayer","C0402","1213.937","2442.087","90","CAP CER 0402 100nF 16V 10% X7R","1213.937","2442.087"
"C83","100nF","TopLayer","C0402","728.937","2447.087","90","CAP CER 0402 100nF 16V 10% X7R","728.937","2447.087"
"C79","100nF","TopLayer","C0402","1304.087","2431.937","360","CAP CER 0402 100nF 16V 10% X7R","1304.087","2431.937"
"C77","100nF","TopLayer","C0402","1278.937","2369.937","180","CAP CER 0402 100nF 16V 10% X7R","1278.937","2369.937"
"C49","100nF","TopLayer","C0402","962.087","2468.937","360","CAP CER 0402 100nF 16V 10% X7R","962.087","2468.937"
"D2","SMAJ28A","TopLayer","SMA-SM","3088.618","397.764","180","TVS DIODE 28VWM 45.4VC SMA","3088.748","397.764"
"C85","100nF","TopLayer","C0603","3930.937","463.937","90","CAP CER 0603 100nF 50V 10% X7R","3930.937","463.937"
"C84","100nF","TopLayer","C0603","3930.937","581.937","270","CAP CER 0603 100nF 50V 10% X7R","3930.937","581.937"
"FB1","BLM41PG600SN1L","TopLayer","L1806","3856.937","512.937","270","FERRITE BEAD 1806 60ohm","3856.937","512.937"
"C3","100nF","TopLayer","C0603","3853.937","371.937","360","CAP CER 0603 100nF 50V 10% X7R","3853.937","371.937"
"F1","3557-2","TopLayer","3557","3651.937","659.937","270","FUSE PTH ATO","3651.937","659.937"
"RV6","120R","TopLayer","R0402","1540.405","2410.433","360","FERRITE BEAD 120 OHM 0402 1LN","1540.354","2410.433"
"RV4","120R","TopLayer","R0402","1798.177","2266.732","180","FERRITE BEAD 120 OHM 0402 1LN","1798.228","2266.732"
"RV18","120R","TopLayer","R0402","1669.988","2295.937","360","FERRITE BEAD 120 OHM 0402 1LN","1669.937","2295.937"
"FB20","120R","TopLayer","FB0603","2210.937","709.937","180","FERRITE BEAD 120 OHM 0603 1LN","2210.937","709.937"
"FB19","120R","TopLayer","FB0603","2246.937","537.937","270","FERRITE BEAD 120 OHM 0603 1LN","2246.937","537.937"
"FB18","120R","TopLayer","FB0603","2433.937","556.937","360","FERRITE BEAD 120 OHM 0603 1LN","2433.937","556.937"
"FB17","120R","TopLayer","FB0603","2587.937","598.937","270","FERRITE BEAD 120 OHM 0603 1LN","2587.937","598.937"
"FB16","120R","TopLayer","FB0603","1594.189","524.189","360","FERRITE BEAD 120 OHM 0603 1LN","1594.189","524.189"
"FB15","120R","TopLayer","FB0603","1752.937","791.937","360","FERRITE BEAD 120 OHM 0603 1LN","1752.937","791.937"
"FB14","120R","TopLayer","FB0603","1889.937","791.937","360","FERRITE BEAD 120 OHM 0603 1LN","1889.937","791.937"
"FB13","120R","TopLayer","FB0603","1998.937","791.937","360","FERRITE BEAD 120 OHM 0603 1LN","1998.937","791.937"
"FB12","120R","TopLayer","FB0603","1060.189","519.189","360","FERRITE BEAD 120 OHM 0603 1LN","1060.189","519.189"
"FB11","120R","TopLayer","FB0603","1087.189","627.189","270","FERRITE BEAD 120 OHM 0603 1LN","1087.189","627.189"
"FB10","120R","TopLayer","FB0603","1241.189","568.189","360","FERRITE BEAD 120 OHM 0603 1LN","1241.189","568.189"
"FB9","120R","TopLayer","FB0603","1359.189","568.189","180","FERRITE BEAD 120 OHM 0603 1LN","1359.189","568.189"
"FB8","120R","TopLayer","FB0603","664.189","544.189","270","FERRITE BEAD 120 OHM 0603 1LN","664.189","544.189"
"FB7","120R","TopLayer","FB0603","747.189","544.189","270","FERRITE BEAD 120 OHM 0603 1LN","747.189","544.189"
"FB6","120R","TopLayer","FB0603","842.189","544.008","270","FERRITE BEAD 120 OHM 0603 1LN","842.189","544.008"
"FB22","120R","TopLayer","FB0603","944.189","520.189","360","FERRITE BEAD 120 OHM 0603 1LN","944.189","520.189"
"R78","10K","TopLayer","R0402","2322.988","1707.441","360","RES SMD 10K OHM 1% 1/16W 0402","2322.937","1707.441"
"R77","10K","TopLayer","R0402","1878.189","1246.138","270","RES SMD 10K OHM 1% 1/16W 0402","1878.189","1246.189"
"R54","10K","TopLayer","R0402","2294.988","1551.441","360","RES SMD 10K OHM 1% 1/16W 0402","2294.937","1551.441"
"R52","10K","TopLayer","R0402","2322.988","1746.441","360","RES SMD 10K OHM 1% 1/16W 0402","2322.937","1746.441"
"R45","1K","TopLayer","R0402","3061.937","2427.390","270","RES SMD 1K OHM 1% 1/16W 0402","3061.937","2427.441"
"J16","Molex 70543-03","TopLayer","70543-03","805.370","2616.394","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold","805.370","2616.394"
"RV26","CG0603MLC-05E","TopLayer","R0603","854.438","1480.934","180","VAR 0603 5V","854.441","1480.937"
"R62","10K","TopLayer","R0402","1015.189","1505.138","270","RES SMD 10K OHM 1% 1/16W 0402","1015.189","1505.189"
"R61","10K","TopLayer","R0402","3055.189","2959.240","90","RES SMD 10K OHM 1% 1/16W 0402","3055.189","2959.189"
"R51","10K","TopLayer","R0402","3095.189","2959.240","90","RES SMD 10K OHM 1% 1/16W 0402","3095.189","2959.189"
"FB4","120R","TopLayer","FB0603","2302.937","1460.937","270","FERRITE BEAD 120 OHM 0603 1LN","2302.937","1460.937"
"FB3","120R","TopLayer","FB0603","2345.937","2075.937","180","FERRITE BEAD 120 OHM 0603 1LN","2345.937","2075.937"
"D12","BAT54","TopLayer","SOD523_IPC","2448.937","1795.937","360","Diode Schottky 30V 100mA Surface Mount SOD-523","2448.937","1795.937"
"R44","1K","TopLayer","R0402","3171.886","1517.937","180","RES SMD 1K OHM 1% 1/16W 0402","3171.937","1517.937"
"R41","2k37","TopLayer","R0402","2395.988","1489.937","360","RES SMD 2.37K OHM 1% 1/16W 0402","2395.937","1489.937"
"R39","2k37","TopLayer","R0402","2342.886","1836.937","180","RES SMD 2.37K OHM 1% 1/16W 0402","2342.937","1836.937"
"R38","2k37","TopLayer","R0402","2392.937","1686.988","90","RES SMD 2.37K OHM 1% 1/16W 0402","2392.937","1686.937"
"C43","100nF","TopLayer","C0402","3101.937","2427.291","270","CAP CER 0402 100nF 16V 10% X7R","3101.937","2427.441"
"C42","100nF","TopLayer","C0402","3171.787","1560.937","180","CAP CER 0402 100nF 16V 10% X7R","3171.937","1560.937"
"R30","1K","TopLayer","R0402","3079.886","1605.937","180","RES SMD 1K OHM 1% 1/16W 0402","3079.937","1605.937"
"R29","1.8K","TopLayer","R0402","3102.441","2342.886","90","RES SMD 1.8K OHM 1% 1/16W 0402","3102.441","2342.835"
"R28","1.8K","TopLayer","R0402","3079.988","1645.937","360","RES SMD 1.8K OHM 1% 1/16W 0402","3079.937","1645.937"
"R27","22r","TopLayer","R0402","1611.441","2331.988","90","RES 0402 22r 62.5mW 1%","1611.441","2331.937"
"R20","22r","TopLayer","R0402","1662.886","2256.937","180","RES 0402 22r 62.5mW 1%","1662.937","2256.937"
"R19","22r","TopLayer","R0402","1397.937","2250.988","90","RES 0402 22r 62.5mW 1%","1397.937","2250.937"
"RV25","120R","TopLayer","R0402","1769.688","1417.937","360","FERRITE BEAD 120 OHM 0402 1LN","1769.637","1417.937"
"RV24","0R","TopLayer","R0402","1404.988","1994.937","360","RES SMD 0.0OHM JUMPER 1/10W 0402","1404.937","1994.937"
"RV22","120R","TopLayer","R0402","2032.937","2216.988","90","FERRITE BEAD 120 OHM 0402 1LN","2032.937","2216.937"
"RV21","120R","TopLayer","R0402","2090.937","2217.988","90","FERRITE BEAD 120 OHM 0402 1LN","2090.937","2217.937"
"RV20","120R","TopLayer","R0402","2147.937","2217.988","90","FERRITE BEAD 120 OHM 0402 1LN","2147.937","2217.937"
"RV19","120R","TopLayer","R0402","2506.988","2285.937","360","FERRITE BEAD 120 OHM 0402 1LN","2506.937","2285.937"
"RV17","120R","TopLayer","R0402","1465.937","2451.886","90","FERRITE BEAD 120 OHM 0402 1LN","1465.937","2451.835"
"RV16","120R","TopLayer","R0402","1491.988","2345.937","360","FERRITE BEAD 120 OHM 0402 1LN","1491.937","2345.937"
"RV15","120R","TopLayer","R0402","1461.886","2265.937","180","FERRITE BEAD 120 OHM 0402 1LN","1461.937","2265.937"
"RV14","120R","TopLayer","R0402","1539.988","2264.937","360","FERRITE BEAD 120 OHM 0402 1LN","1539.937","2264.937"
"RV12","120R","TopLayer","R0402","1791.988","2333.937","360","FERRITE BEAD 120 OHM 0402 1LN","1791.937","2333.937"
"RV10","120R","TopLayer","R0402","1781.937","2204.886","270","FERRITE BEAD 120 OHM 0402 1LN","1781.937","2204.937"
"RV8","120R","TopLayer","R0402","1570.441","2331.988","90","FERRITE BEAD 120 OHM 0402 1LN","1570.441","2331.937"
"RV7","VRS0402SR55R101N","TopLayer","C0402","1314.961","2288.535","270","Multi-Layer Varistor","1314.961","2288.685"
"RV5","VRS0402SR55R101N","TopLayer","C0402","1177.417","2310.929","270","Multi-Layer Varistor","1177.417","2311.079"
"RV3","VRS0402SR55R101N","TopLayer","C0402","1136.417","2310.929","270","Multi-Layer Varistor","1136.417","2311.079"
"P2","HDR10","TopLayer","HDR2X5_IDC","2243.937","2488.937","360","CONN HEADER VERT 10POS GOLD","2243.937","2488.937"
"P1","HDR10","TopLayer","HDR2X5_IDC","2243.937","2863.937","360","CONN HEADER VERT 10POS GOLD","2243.937","2863.937"
"R26","0.12R","TopLayer","R1206","2278.929","641.937","180","RES 0.12 OHM 5% 1/4W 1206","2278.937","641.937"
"R15","0.12R","TopLayer","R1206","1415.197","1173.189","360","RES 0.12 OHM 5% 1/4W 1206","1415.189","1173.189"
"R14","10R","TopLayer","R0402","2599.937","927.988","90","RES SMD 10 OHM 1% 1/16W 0402","2599.937","927.937"
"C119","100nF","TopLayer","C0603","2428.937","642.937","180","CAP CER 0603 100nF 50V 10% X7R","2428.937","642.937"
"C118","1nF","TopLayer","C0603","2159.937","796.937","180","CAP CER 0603  1nF 50v 10% X7R","2159.937","796.937"
"C117","1nF","TopLayer","C0603","2332.937","560.937","360","CAP CER 0603  1nF 50v 10% X7R","2332.937","560.937"
"C82","100nF","TopLayer","C0603","2408.937","1176.937","270","CAP CER 0603 100nF 50V 10% X7R","2408.937","1176.937"
"C80","1nF","TopLayer","C0603","2531.937","614.165","90","CAP CER 0603  1nF 50v 10% X7R","2531.937","614.165"
"C78","1nF","TopLayer","C0603","2643.937","627.937","270","CAP CER 0603  1nF 50v 10% X7R","2643.937","627.937"
"C76","1uF","TopLayer","C0402","2554.787","859.937","180","CAP CER 0402 1uF 6.3V 10% X5R","2554.937","859.937"
"C73","100nF","TopLayer","C0402","2473.787","1051.937","180","CAP CER 0402 100nF 16V 10% X7R","2473.937","1051.937"
"C41","100nF","TopLayer","C0402","2236.937","801.087","90","CAP CER 0402 100nF 16V 10% X7R","2236.937","800.937"
"C39","100nF","TopLayer","C0402","2551.937","927.787","270","CAP CER 0402 100nF 16V 10% X7R","2551.937","927.937"
"C38","22nF","TopLayer","C0402","2554.087","992.937","360","CAP CER 0402 22nF ±10% 50V X7R","2553.937","992.937"
"C37","100nF","TopLayer","C0603","2559.937","1069.937","90","CAP CER 0603 100nF 50V 10% X7R","2559.937","1069.937"
"C36","100nF","TopLayer","C0603","2468.937","1098.937","180","CAP CER 0603 100nF 50V 10% X7R","2468.937","1098.937"
"C31","100nF","TopLayer","C0603","2552.937","694.937","180","CAP CER 0603 100nF 50V 10% X7R","2552.937","694.937"
"C18","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","2832.937","493.937","90","CAP ALUM 100UF 35V 20% SMD","2832.937","493.937"
"R25","0.12R","TopLayer","R1206","2340.189","1160.197","90","RES 0.12 OHM 5% 1/4W 1206","2340.189","1160.189"
"R10","0.12R","TopLayer","R1206","901.181","650.189","180","RES 0.12 OHM 5% 1/4W 1206","901.189","650.189"
"R8","10R","TopLayer","R0402","1634.937","927.988","90","RES SMD 10 OHM 1% 1/16W 0402","1634.937","927.937"
"C116","100nF","TopLayer","C0603","1436.189","636.189","90","CAP CER 0603 100nF 50V 10% X7R","1436.189","636.189"
"C115","1nF","TopLayer","C0603","1240.937","708.937","180","CAP CER 0603  1nF 50v 10% X7R","1240.937","708.937"
"C114","1nF","TopLayer","C0603","1551.937","635.937","360","CAP CER 0603  1nF 50v 10% X7R","1551.937","635.937"
"C113","100nF","TopLayer","C0603","1367.937","1104.937","180","CAP CER 0603 100nF 50V 10% X7R","1367.937","1104.937"
"C112","1nF","TopLayer","C0603","1835.937","877.937","90","CAP CER 0603  1nF 50v 10% X7R","1835.937","877.937"
"C75","1nF","TopLayer","C0603","2042.937","850.937","360","CAP CER 0603  1nF 50v 10% X7R","2042.937","850.937"
"C72","1uF","TopLayer","C0402","1598.787","863.937","180","CAP CER 0402 1uF 6.3V 10% X5R","1598.937","863.937"
"C64","100nF","TopLayer","C0402","1272.937","803.087","90","CAP CER 0402 100nF 16V 10% X7R","1272.937","802.937"
"C55","100nF","TopLayer","C0402","1510.787","1050.937","180","CAP CER 0402 100nF 16V 10% X7R","1510.937","1050.937"
"C50","100nF","TopLayer","C0402","1586.937","927.787","270","CAP CER 0402 100nF 16V 10% X7R","1586.937","927.937"
"C34","22nF","TopLayer","C0402","1596.087","992.937","360","CAP CER 0402 22nF ±10% 50V X7R","1595.937","992.937"
"C33","100nF","TopLayer","C0603","1621.937","1040.937","360","CAP CER 0603 100nF 50V 10% X7R","1621.937","1040.937"
"C32","100nF","TopLayer","C0603","1505.937","1097.937","180","CAP CER 0603 100nF 50V 10% X7R","1505.937","1097.937"
"C23","100nF","TopLayer","C0603","1592.937","701.937","180","CAP CER 0603 100nF 50V 10% X7R","1592.937","701.937"
"C5","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","1656.575","1258.937","180","CAP ALUM 100UF 35V 20% SMD","1656.575","1258.937"
"R22","0.12R","TopLayer","R1206","1312.181","641.189","180","RES 0.12 OHM 5% 1/4W 1206","1312.189","641.189"
"R7","0.12R","TopLayer","R1206","924.937","1161.945","90","RES 0.12 OHM 5% 1/4W 1206","924.937","1161.937"
"R4","10R","TopLayer","R0402","1197.937","846.988","90","RES SMD 10 OHM 1% 1/16W 0402","1197.937","846.937"
"C111","100nF","TopLayer","C0603","1056.937","1097.937","180","CAP CER 0603 100nF 50V 10% X7R","1056.937","1097.937"
"C110","100nF","TopLayer","C0603","1100.937","700.937","180","CAP CER 0603 100nF 50V 10% X7R","1100.937","700.937"
"C109","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","1174.551","1287.189","180","CAP ALUM 100UF 35V 20% SMD","1174.551","1287.189"
"C108","100nF","TopLayer","C0603","950.937","573.937","360","CAP CER 0603 100nF 50V 10% X7R","950.937","573.937"
"C107","1nF","TopLayer","C0603","790.189","723.189","180","CAP CER 0603  1nF 50v 10% X7R","790.189","723.189"
"C106","1nF","TopLayer","C0603","1033.189","620.189","270","CAP CER 0603  1nF 50v 10% X7R","1033.189","620.189"
"C71","100nF","TopLayer","C0603","992.937","1175.937","270","CAP CER 0603 100nF 50V 10% X7R","992.937","1175.937"
"C66","1nF","TopLayer","C0603","1141.189","620.189","270","CAP CER 0603  1nF 50v 10% X7R","1141.189","620.189"
"C65","1nF","TopLayer","C0603","1482.937","555.937","360","CAP CER 0603  1nF 50v 10% X7R","1482.937","555.937"
"C61","1uF","TopLayer","C0402","1139.787","861.937","180","CAP CER 0402 1uF 6.3V 10% X5R","1139.937","861.937"
"C54","100nF","TopLayer","C0402","1059.787","1050.937","180","CAP CER 0402 100nF 16V 10% X7R","1059.937","1050.937"
"C53","100nF","TopLayer","C0402","821.937","792.087","90","CAP CER 0402 100nF 16V 10% X7R","821.937","791.937"
"C51","100nF","TopLayer","C0402","1136.937","926.787","270","CAP CER 0402 100nF 16V 10% X7R","1136.937","926.937"
"C29","22nF","TopLayer","C0402","1139.465","991.937","360","CAP CER 0402 22nF ±10% 50V X7R","1139.315","991.937"
"C28","100nF","TopLayer","C0603","1145.937","1065.937","90","CAP CER 0603 100nF 50V 10% X7R","1145.937","1065.937"
"C103","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","2773.937","865.937","90","CAP ALUM 100UF 35V 20% SMD","2773.937","865.937"
"C27","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","3364.937","1255.937","90","CAP ALUM 100UF 35V 20% SMD","3364.937","1255.937"
"X13","0395311002","TopLayer","MSTBV2","2980.937","1212.937","180","Conn - 5.08mm Pitch Fixed","2980.937","1212.937"
"C89","100nF","TopLayer","C0603","3296.937","1433.937","270","CAP CER 0603 100nF 50V 10% X7R","3296.937","1433.937"
"C88","100nF","TopLayer","C0603","3601.441","1243.441","180","CAP CER 0603 100nF 50V 10% X7R","3601.441","1243.441"
"C87","100nF","TopLayer","C0603","3593.937","1185.937","360","CAP CER 0603 100nF 50V 10% X7R","3593.937","1185.937"
"C86","100nF","TopLayer","C0603","3700.937","1185.937","180","CAP CER 0603 100nF 50V 10% X7R","3700.937","1185.937"
"R11","23.2k","TopLayer","R0402","3927.189","2970.240","90","RES SMD 23.2K OHM 1% 1/16W 0402","3927.189","2970.189"
"R3","30.9k","TopLayer","R0402","3894.515","2765.173","360","RES SMD 30.9K OHM 1% 1/16W 0402","3894.465","2765.173"
"C40","1nF","TopLayer","C0603","3877.189","2970.189","90","CAP CER 0603  1nF 50v 10% X7R","3877.189","2970.189"
"C35","UWT1V101MCL1GS","TopLayer","CAP-ELEC-063063077","3209.189","2612.189","270","CAP ALUM 100UF 35V 20% SMD","3209.189","2612.189"
"C30","100nF","TopLayer","C0603","3766.157","2978.567","180","CAP CER 0603 100nF 50V 10% X7R","3766.157","2978.567"
"C25","10uF","TopLayer","C1206","3436.189","2930.189","180","CAP CER 10UF 50V 10% X5R 1206","3436.189","2930.189"
"F3","3557-2","TopLayer","3557","3656.937","1672.937","90","FUSE PTH ATO","3656.937","1672.937"
"F2","3557-2","TopLayer","3557","3361.890","660.331","270","FUSE PTH ATO","3361.890","660.331"
"FB2","BLM41PG600SN1L","TopLayer","L1806","3645.937","1107.937","180","FERRITE BEAD 1806 60ohm","3645.937","1107.937"
"R21","100R","TopLayer","R0402","3173.138","2257.189","180","RES SMD 100 OHM 1% 1/16W 0402","3173.189","2257.189"
"LED3","RED","TopLayer","LED2012120","3118.189","1828.520","90","LED 0805 Red","3118.189","1828.189"
"R6","2k37","TopLayer","R0402","2396.937","1966.886","270","RES SMD 2.37K OHM 1% 1/16W 0402","2396.937","1966.937"
"R5","4.7K","TopLayer","R0402","2376.937","1430.886","270","RES SMD 4.7K OHM 1% 1/16W 0402","2376.937","1430.937"
"D5","BAT54","TopLayer","SOD523_IPC","2446.937","2076.937","360","Diode Schottky 30V 100mA Surface Mount SOD-523","2446.937","2076.937"
"D1","BAT54","TopLayer","SOD523_IPC","2446.937","2030.937","180","Diode Schottky 30V 100mA Surface Mount SOD-523","2446.937","2030.937"
"C4","100nF","TopLayer","C0402","2343.087","1874.937","360","CAP CER 0402 100nF 16V 10% X7R","2342.937","1874.937"
"C48","1uF","TopLayer","C0402","1890.708","1020.378","180","CAP CER 0402 1uF 6.3V 10% X5R","1890.858","1020.378"
"C47","1uF","TopLayer","C0402","1904.661","1183.764","180","CAP CER 0402 1uF 6.3V 10% X5R","1904.811","1183.764"
"C22","1uF","TopLayer","C0402","1968.464","1020.378","180","CAP CER 0402 1uF 6.3V 10% X5R","1968.614","1020.378"
"C21","1uF","TopLayer","C0402","1979.464","1183.764","180","CAP CER 0402 1uF 6.3V 10% X5R","1979.614","1183.764"
"RN3","10K","TopLayer","CAY16","1965.283","954.220","180","RES ARRAY 4 RES 10K 1206 62.5mW 5%","1965.661","954.433"
"RN2","5.6k","TopLayer","CAY16","1965.283","1093.984","180","RES ARRAY 4 RES 5.6K OHM 1206","1965.661","1094.197"
"C20","1uF","TopLayer","C0402","2046.520","1019.394","360","CAP CER 0402 1uF 6.3V 10% X5R","2046.370","1019.394"
"C19","1uF","TopLayer","C0402","2057.520","1182.780","360","CAP CER 0402 1uF 6.3V 10% X5R","2057.370","1182.780"
"RN1","5.6k","TopLayer","CAY16","1965.283","1249.496","180","RES ARRAY 4 RES 5.6K OHM 1206","1965.661","1249.709"
"D4","1N4148WT","TopLayer","SOD523","723.110","2248.063","270","DIODE SOD523","723.110","2248.063"
"D3","1N4148WT","TopLayer","SOD523","629.937","2405.937","90","DIODE SOD523","629.937","2405.937"
"C63","4.7nF","TopLayer","C0402","704.465","2100.087","90","CAP CER 0402 4.7nF 25V 10% X7R","704.465","2099.937"
"D8","SMAJ28A","TopLayer","SMA-SM","3089.524","517.614","180","TVS DIODE 28VWM 45.4VC SMA","3089.654","517.614"
