Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\EinsyRetro\board\Project Outputs for EinsyRetro\Assembly\Pick and Place_EinsyRetro_1.0a.csv

========================================================================================================================
File Design Information:

Date:       08/11/17
Time:       13:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"U8","74AHCT1G125","TopLayer","SOTFL50P160X60-5L","10.9728","-5.5372","270","IC BUS BUFF TRI-ST N-INV  SOT-553","10.9728","-5.5372"
"C121","100nF","TopLayer","C0402","11.4808","-7.5184","270","CAP CER 0402 100nF 16V 10% X7R","11.4808","-7.5184"
"P3","HDR10","TopLayer","HDR2X5_IDC_THIEVING","49.0394","-0.6170","270","CONN HEADER VERT 10POS GOLD","47.4138","-0.6170"
"RV32","120R","TopLayer","R0402","47.8777","-11.4300","180","FERRITE BEAD 120 OHM 0402 1LN","47.8790","-11.4300"
"RV31","120R","TopLayer","R0402","43.8137","-11.4300","360","FERRITE BEAD 120 OHM 0402 1LN","43.8124","-11.4300"
"RV30","120R","TopLayer","R0402","54.0004","5.0559","90","FERRITE BEAD 120 OHM 0402 1LN","54.0004","5.0546"
"RV29","120R","TopLayer","R0402","52.9590","5.0559","90","FERRITE BEAD 120 OHM 0402 1LN","52.9590","5.0546"
"RV28","120R","TopLayer","R0402","36.5493","-10.8458","360","FERRITE BEAD 120 OHM 0402 1LN","36.5480","-10.8458"
"RV27","120R","TopLayer","R0402","36.5519","-9.8044","360","FERRITE BEAD 120 OHM 0402 1LN","36.5506","-9.8044"
"C45","100pF","TopLayer","C0402","74.2830","3.4690","180","CAP CER 100PF 50V C0G/NP0 0402","74.2830","3.4690"
"U3","LM3485","TopLayer","VSSOP-8","71.3452","4.2568","90","IC REG CTRLR BUCK 8VSSOP","71.3452","4.2568"
"R13","10K","TopLayer","R0402","74.2843","4.5190","360","RES SMD 10K OHM 1% 1/16W 0402","74.2830","4.5190"
"D18","SK310A-TP","TopLayer","SMA-SM","62.4686","3.1547","180","DIODE Schottky 3A SMA","62.1094","3.8672"
"D10","SK310A-TP","TopLayer","SMA-SM","69.8261","-12.2006","90","DIODE Schottky 3A SMA","70.5386","-11.8414"
"D6","SK310A-TP","TopLayer","SMA-SM","55.5788","-32.1323","180","DIODE Schottky 3A SMA","55.2196","-31.4198"
"Q3","DMP4025","TopLayer","POWERDI3333-8","67.3347","4.2136","270","MOSFET P-CH 40V 7.2A POWERDI3333","67.5972","3.9636"
"L2","10uH","TopLayer","IND_SRN8040","65.0050","-2.0510","90","FIXED IND 10UH 4.6A 33 MOHM SMD","65.0050","-2.0510"
"D17","1N4148WT","TopLayer","SOD523","51.8886","-12.0664","90","DIODE SOD523","51.8886","-12.0664"
"D9","1N4148WT","TopLayer","SOD523","52.9844","-24.9174","0","DIODE SOD523","52.9844","-24.9174"
"RV23","VRS0402SR55R101N","TopLayer","C0402","13.8136","-15.8914","360","Multi-Layer Varistor","13.8136","-15.8914"
"RV13","VRS0402SR55R101N","TopLayer","C0402","3.1886","-5.8414","90","Multi-Layer Varistor","3.1886","-5.8414"
"RV11","VRS0402SR55R101N","TopLayer","C0402","-2.7864","-5.4914","270","Multi-Layer Varistor","-2.7864","-5.4914"
"J18","Molex 70543-03","TopLayer","70543-03","16.8200","-1.3600","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold","16.8200","-1.3600"
"J17","Molex 70543-03","TopLayer","70543-03","6.3200","-1.3600","360","3 Positions Header, Shrouded Connector 0.100" (2.54mm) Through Hole Gold","6.3200","-1.3600"
"JP4","SJ_0805","BottomLayer","R0805","-16.7068","-14.2176","90","SMD solder jumper","-16.7068","-14.2176"
"JP3","SJ_0805","BottomLayer","R0805","-14.1160","-14.2176","90","SMD solder jumper","-14.1160","-14.2176"
"RT1","NTCG104LH104JT1","TopLayer","R0402","71.3042","-36.8477","90","Resistor","71.3042","-36.8490"
"R60","4.7k","TopLayer","R0402","69.3471","-36.3410","180","RES SMD 4.7K OHM 1% 1/16W 0402","69.3484","-36.3410"
"C124","100nF","TopLayer","C0402","51.9240","-26.6636","90","CAP CER 0402 100nF 16V 10% X7R","51.9240","-26.6636"
