Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\EinsyRetro\EinsyRetro\board\Project Outputs\Assembly\Pick and Place_EinsyRetro_1.0c.csv

========================================================================================================================
File Design Information:

Date:       13/02/18
Time:       01:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"C129","100nF","TopLayer","C0402","38.9674","56.2864","360","CAP CER 0402 100nF 16V 10% X7R","38.9636","56.2864"
"C128","100nF","TopLayer","C0402","26.1836","56.3372","180","CAP CER 0402 100nF 16V 10% X7R","26.1874","56.3372"
"C127","100nF","TopLayer","C0402","15.5702","55.7238","270","CAP CER 0402 100nF 16V 10% X7R","15.5702","55.7276"
"C126","100nF","TopLayer","C0402","31.6446","69.6468","180","CAP CER 0402 100nF 16V 10% X7R","31.6484","69.6468"
"C125","100nF","TopLayer","C0402","21.4084","69.6468","180","CAP CER 0402 100nF 16V 10% X7R","21.4122","69.6468"
"C122","100nF","TopLayer","C0402","10.9690","69.6468","180","CAP CER 0402 100nF 16V 10% X7R","10.9728","69.6468"
"RV38","120R","TopLayer","R0402","31.0031","45.7012","180","FERRITE BEAD 120 OHM 0402 1LN","31.0044","45.7012"
"RV37","120R","TopLayer","R0402","22.2958","55.5187","270","FERRITE BEAD 120 OHM 0402 1LN","22.2958","55.5200"
"RV36","120R","TopLayer","R0402","12.7990","55.5717","270","FERRITE BEAD 120 OHM 0402 1LN","12.7990","55.5730"
"RV35","120R","TopLayer","R0402","27.2542","51.1315","90","FERRITE BEAD 120 OHM 0402 1LN","27.2542","51.1302"
"RV34","120R","TopLayer","R0402","24.5250","52.2513","90","FERRITE BEAD 120 OHM 0402 1LN","24.5250","52.2500"
"RV33","120R","TopLayer","R0402","21.4016","52.2501","90","FERRITE BEAD 120 OHM 0402 1LN","21.4016","52.2488"
"C120","100nF","TopLayer","C0402","29.1084","44.7040","180","CAP CER 0402 100nF 16V 10% X7R","29.1084","44.7040"
"C93","100nF","TopLayer","C0402","24.3840","55.5790","90","CAP CER 0402 100nF 16V 10% X7R","24.3840","55.5790"
"C83","100nF","TopLayer","C0402","10.6934","55.2704","90","CAP CER 0402 100nF 16V 10% X7R","10.6934","55.2704"
"C79","100nF","TopLayer","C0402","26.1112","54.8132","360","CAP CER 0402 100nF 16V 10% X7R","26.1112","54.8132"
"C77","100nF","TopLayer","C0402","25.6540","53.7464","180","CAP CER 0402 100nF 16V 10% X7R","25.6540","53.7464"
"C49","100nF","TopLayer","C0402","17.9870","56.2610","360","CAP CER 0402 100nF 16V 10% X7R","17.9870","56.2610"
"D2","SMAJ28A","TopLayer","SMA-SM","72.0009","3.6532","180","TVS DIODE 28VWM 45.4VC SMA","72.0042","3.6532"
"C85","100nF","TopLayer","C0603","93.3958","5.3340","90","CAP CER 0603 100nF 50V 10% X7R","93.3958","5.3340"
"C84","100nF","TopLayer","C0603","93.3958","8.3312","270","CAP CER 0603 100nF 50V 10% X7R","93.3958","8.3312"
"FB1","BLM41PG600SN1L","TopLayer","L1806","91.5162","6.5786","270","FERRITE BEAD 1806 60ohm","91.5162","6.5786"
"C3","100nF","TopLayer","C0603","91.4400","2.9972","360","CAP CER 0603 100nF 50V 10% X7R","91.4400","2.9972"
"F1","3557-2","TopLayer","3557","86.3092","10.3124","270","FUSE PTH ATO","86.3092","10.3124"
"RV6","120R","TopLayer","R0402","36.0693","56.2864","360","FERRITE BEAD 120 OHM 0402 1LN","36.0680","56.2864"
"RV4","120R","TopLayer","R0402","39.1909","51.6382","180","FERRITE BEAD 120 OHM 0402 1LN","39.1922","51.6382"
"RV18","120R","TopLayer","R0402","37.0599","52.9590","360","FERRITE BEAD 120 OHM 0402 1LN","37.0586","52.9590"
"FB20","120R","TopLayer","FB0603","49.7078","11.5824","180","FERRITE BEAD 120 OHM 0603 1LN","49.7078","11.5824"
"FB19","120R","TopLayer","FB0603","50.6222","7.2136","270","FERRITE BEAD 120 OHM 0603 1LN","50.6222","7.2136"
"FB18","120R","TopLayer","FB0603","55.3720","7.6962","360","FERRITE BEAD 120 OHM 0603 1LN","55.3720","7.6962"
"FB17","120R","TopLayer","FB0603","59.2836","8.7630","270","FERRITE BEAD 120 OHM 0603 1LN","59.2836","8.7630"
"FB16","120R","TopLayer","FB0603","34.0424","6.8644","360","FERRITE BEAD 120 OHM 0603 1LN","34.0424","6.8644"
"FB15","120R","TopLayer","FB0603","38.0746","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","38.0746","13.6652"
"FB14","120R","TopLayer","FB0603","41.5544","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","41.5544","13.6652"
"FB13","120R","TopLayer","FB0603","44.3230","13.6652","360","FERRITE BEAD 120 OHM 0603 1LN","44.3230","13.6652"
"FB12","120R","TopLayer","FB0603","20.4788","6.7374","360","FERRITE BEAD 120 OHM 0603 1LN","20.4788","6.7374"
